"postURL	contentPost";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/geu-injection-methotrexate-sujet_10755_1.htm#post_0	Grossesse extra uterine et injection de <b>METHOTREXATE</b> taux a 4300 ! a partir de combien de temps ca fait effet ? merci a t'il des grosses douleurs au ventre ?";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/injection-methotrexate-douleurs-sujet_11108_1.htm#post_0	Bonjour, j'ai eu une injection de <b>METHOTREXATE</b> a 18h, et depuis j'ai toujours très mal a l'endroit ou j'ai reçu l'injection. Ça me brûle et j'ai comme une crampe. La douleur ne passe pas. C'est normal que ça fasse ça ?";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/celio-sujet_9177_1.htm#post_0	Bonsoir, je suis demain a j7 de mon injection de <b>METHOTREXATE</b> et je me demande si mon taux n'a pas trop decsendu si ils vont me proposer une operatioon?? qui a était dans ce cas??";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/trompe-epanchement-retrouterine-sujet_10978_1.htm#post_0	Bonjour tout le monde. bon j'ai EU la fameuse picqure de <b>METHOTREXATE</b> le 2 janvier. Mon gyneco ma rien explique et ma pas arretez. Bref fatigue douleurs tout sa. 15 hours apres gross douleurs a droite. Echo montre rompe a Grossi et epanchemant retrouterine, mais taux a 30 donc on attend. Vos pensez quoi? Merci";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/nouvelle-sujet_11353_1.htm#post_0	bonjour, voila j'ai eu deux grands garçons puis vers 37 ans essai bébé 3 et la taux qui monte peu au plus à 175.... aucune douleur pas de saignement suspicion de geu injection de méthotrexate deux mois plus tard reenceinte fausse couche oeuf clair deux mois pus tard un beau bébé ! puis de nouveau projet bébé j'ai 39 ans. au C3 posiive mais taux qui ne montent pas correctement : 88 puis 133 puis 360 puis 540 puis 850 et trois jours après 900.... du coups injection de méthotrexate prévue rien à l'écho normal vu le taux.... mais voilà comment savoir si ce n'est pas une simple fausse couche... l’injection n'est pas anodine en plus après il faut attendre un délai or j'ai maintenant 39 ans... je suis vraiment effrayée quand au fait de ne pas voir la chance d'avoir ce quatrième bébé...... nouve";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/cicatrice-ablation-trompe-sujet_9546_1.htm#post_0	bonjour j'ai eu une célio pour une geu LE 21 Décembre 2010 avec ablation de la trompe droit aprés un echec de <b>METHOTREXATE</b> Aujourdhui plus de 3 mois aprés j'ai comme de l'electricité au niveau de ma cicatrice est ce que sa vous ai déja arriver";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/stagne-malgres-injections-sujet_10947_1.htm#post_0	Bonjour, Je manque de patience, j'aurai besoin de votre expérience: 2 injections de méthotrexate et le taux à bien baissé sauf depuis samedi 84 mercredi 82 prochaine prise de sang vendredi pour voir si on fait une célio. Avez-vous eu une stagnation? et son évolution? Merci pour vos réponses";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/regles-injection-methotrexate-sujet_10771_1.htm#post_0	Coucou à toute , j'ai eu une injection de méthotréxate le 21 janvier pour une seconde GEU ( 3 sg taux 351 ) , mon taux et devenu négatif le 20 février , mais voila depuis l'injection sa fait 43 jours , c'est normal de toujours pas avoir ses régles ou faut il que je calcul a partir du taux négatif ? j'suis complétement perdu ! Merci bisousssssssss";;;
"http://forum.doctissimo.fr/grossesse-bebe/grossesse-extra-uterine/svp-avis-methotrexate-sujet_10204_1.htm#post_0	Voilà On m'a diagnostiqué une GEU le 4 janvier. Mon parcours n'est pas simple car je venais de faire ma 2ème FIV et qu'il ne me reste plus qu'une trompe . On ne voit rien à l'échographie.Mon gynéco devant le taux de hcg qui stagnait m'a fait un curetage. Aux analyses il s'est révélé que l'embryon n'était pas dans mon utérus. Le taux de hcg était à 121. Le 4 janvier 1ère injection de méthotrexate. le 12 janvier hcg à 126 et 2 ème injection de méthotrexate. J'angoisse car je n'ai pas de grosses douleurs ni de saignements.Je ne sais pas ou se situe cet embryon. Je suis crevée ...Et surtout angoissée pour la suite si le ttt ne fonctionne pas. Besoin de témoignages...merci d'avance...";;;
"http://forum.doctissimo.fr/grossesse-bebe/fertilite-infertilite/infertilite-sujet_215813_1.htm#post_0	Bonjour, j'ai besoin de partager mon expérience, nous avons commencé les essais bébé depuis 1 an (j'ai 27 ans),j'ai fait une fausse couche 6sg au mois de juin et là je viens de faire une GEU (injection de méthotrexate ), est-ce que qn a déjà vécu cela, comme avez vous retrouvé le moral et surtout où en êtes vous dans les essais ? Merci pour votre aide,";;;
