nchar	nPosts
1	16758
2	35143
3	9562
4	8468
5	19406
6	13572
7	12941
8	9681
9	10539
10	9449
11	10522
12	11488
13	12486
14	13250
15	14035
16	14839
17	14697
18	14859
19	14997
20	14693
21	15349
22	15043
23	15242
24	15018
25	15270
26	15229
27	15349
28	15895
29	15648
30	15532
31	15478
32	15625
33	15867
34	16005
35	15830
36	15773
37	15629
38	15635
39	15825
40	15435
41	15260
42	15264
43	15153
44	15014
45	15286
46	14755
47	14966
48	14482
49	14895
50	14433
51	14367
52	14281
53	14360
54	14296
55	14087
56	13996
57	14066
58	14014
59	14003
60	13822
61	13788
62	13469
63	13461
64	13273
65	13653
66	13500
67	13323
68	13207
69	12954
70	13153
71	13074
72	12824
73	12644
74	12823
75	12435
76	12433
77	12558
78	12395
79	12273
80	12524
81	12088
82	12156
83	11974
84	11906
85	11810
86	11700
87	11544
88	11549
89	11563
90	11438
91	11269
92	11391
93	11165
94	11322
95	11183
96	11186
97	11161
98	10933
99	10807
100	10703
101	10931
102	10476
103	10642
104	10630
105	10557
106	10660
16490	1
107	10181
108	10240
109	10343
110	10091
111	9808
112	10308
113	9852
114	10082
115	9710
116	9676
117	9792
118	9919
119	9727
120	9521
121	9600
122	9573
123	9464
124	9337
125	9257
126	9292
127	9161
128	9365
129	9110
130	9190
131	8998
132	8998
133	8864
134	8883
135	8783
136	8773
137	8702
138	8789
139	8738
140	8562
141	8612
142	8650
143	8441
144	8460
145	8560
146	8487
147	8517
148	8881
149	8272
150	8391
151	8266
152	8034
153	8033
154	7874
155	7852
156	7816
157	7805
158	7723
159	7871
160	7678
161	7704
162	7526
163	7633
164	7642
165	7452
166	7477
167	7421
168	7397
169	7383
170	7288
171	7258
172	7403
173	7393
174	7157
175	7091
176	7079
177	6959
178	7032
179	7069
180	7052
181	6987
182	6936
183	6874
16567	1
184	6750
185	6801
186	6787
187	6729
188	6665
189	6543
190	6565
191	6606
192	6473
193	6426
194	6391
195	6459
196	6481
197	6501
198	6439
199	6328
200	6271
201	6281
202	6312
203	6179
204	6046
205	6155
206	6212
207	6096
208	5810
209	5834
210	6022
211	5879
212	5865
16596	1
213	5874
214	5954
215	5657
216	5680
217	5708
218	5828
219	5695
220	5654
221	5637
222	5503
223	5392
224	5415
225	5514
226	5496
227	5413
228	5394
229	5468
230	5424
231	5320
232	5298
233	5229
234	5164
235	5357
236	5298
237	5159
238	5178
239	5210
240	5113
241	5032
242	5098
243	5009
244	5116
245	4955
246	4915
247	4900
248	4841
249	4780
250	4810
251	4866
252	4887
253	4759
254	4754
255	4739
256	4704
257	4758
258	4737
259	4673
260	4551
261	4582
262	4622
263	4507
264	4514
265	4595
266	4560
267	4493
268	4523
269	4408
270	4394
271	4302
272	4344
273	4440
274	4296
275	4243
276	4152
277	4141
278	4256
279	4276
280	4305
281	4070
282	4084
283	4190
284	4134
285	4131
286	4039
287	4186
288	4002
289	4108
290	3975
291	4076
292	3859
293	3988
294	4015
295	3999
296	4068
297	3890
298	3881
299	3810
300	3853
301	3850
302	3856
303	3805
304	3827
305	3710
306	3838
307	3755
308	3727
309	3611
310	3740
311	3644
312	3576
313	3652
314	3628
315	3556
316	3631
317	3606
318	3603
319	3592
320	3484
321	3446
322	3579
323	3537
324	3414
325	3392
326	3394
327	3475
328	3438
329	3420
330	3336
331	3377
332	3314
333	3253
334	3354
335	3307
336	3200
337	3277
338	3339
339	3260
340	3189
341	3276
342	3151
343	3218
344	3103
345	3116
346	3144
347	3111
348	3166
349	3119
350	3157
351	3156
352	3011
353	3079
354	3180
355	3078
356	3084
357	2995
358	2957
359	3040
360	2946
361	2859
16745	1
362	2980
363	3012
364	2903
365	2900
366	2970
367	2895
368	2980
369	2925
370	2813
371	2769
372	2802
373	2772
374	2702
33142	1
375	2833
376	2777
377	2728
378	2748
379	2789
380	2733
381	2722
382	2662
383	2721
384	2761
385	2686
386	2741
387	2678
388	2646
389	2667
390	2700
391	2691
392	2551
393	2574
394	2606
395	2618
396	2593
397	2542
398	2633
399	2623
400	2559
401	2606
402	2598
403	2506
404	2514
405	2419
406	2510
407	2438
408	2487
16792	1
409	2426
410	2444
411	2409
412	2392
413	2467
414	2368
415	2480
416	2403
417	2455
418	2353
419	2427
420	2382
421	2351
422	2369
423	2446
424	2289
425	2289
426	2315
427	2279
428	2305
429	2276
430	2303
431	2327
432	2284
433	2272
434	2244
435	2237
436	2180
437	2160
438	2238
439	2129
440	2162
441	2213
442	2145
443	2233
444	2218
445	2175
446	2093
447	2071
448	2120
449	2174
450	2103
451	2066
452	2065
453	2127
454	2083
455	2089
456	1992
457	2016
458	1992
459	2053
460	2048
16844	1
461	2069
462	2077
463	2093
464	2051
465	2016
466	1975
467	2009
468	2028
469	1949
470	2005
471	1888
472	1876
473	2009
474	1941
475	1853
476	1911
477	1957
478	1895
479	1835
480	1872
481	1897
482	1911
483	1904
484	1865
485	1969
486	1791
487	1851
488	1849
489	1897
490	1843
491	1740
492	1844
493	1757
494	1821
495	1844
496	1764
497	1749
498	1786
499	1768
500	1823
501	1747
502	1812
503	1783
504	1708
505	1739
506	1683
507	1662
508	1725
509	1646
510	1719
511	1714
512	1701
513	1629
514	1685
515	1665
516	1723
517	1667
518	1675
519	1643
520	1692
521	1686
522	1631
523	1620
524	1591
525	1605
526	1614
527	1590
528	1607
529	1547
530	1516
531	1597
532	1638
533	1537
534	1569
535	1573
536	1543
537	1595
538	1540
539	1574
540	1495
541	1543
542	1584
543	1584
544	1528
545	1417
546	1531
547	1505
548	1487
549	1511
550	1437
551	1434
552	1512
553	1422
554	1447
555	1447
556	1422
557	1417
558	1375
559	1408
560	1450
561	1453
562	1387
563	1410
564	1434
565	1498
566	1414
567	1418
568	1418
569	1443
570	1392
571	1439
572	1460
573	1330
574	1356
575	1383
576	1346
577	1330
578	1334
579	1313
580	1263
581	1282
582	1360
583	1314
584	1341
585	1343
586	1334
587	1327
588	1285
589	1308
590	1326
591	1243
592	1330
593	1188
594	1250
595	1282
596	1293
597	1253
598	1282
16982	1
599	1271
600	1264
601	1214
602	1215
603	1218
604	1196
605	1263
606	1220
607	1153
608	1275
609	1274
610	1238
611	1198
612	1258
613	1199
614	1209
615	1206
616	1157
617	1208
618	1176
619	1112
620	1191
621	1173
622	1203
623	1240
624	1158
625	1110
626	1144
627	1174
628	1126
629	1163
630	1146
631	1154
632	1138
633	1105
634	1101
635	1088
636	1115
637	1083
638	1097
639	1133
640	1040
641	1066
642	1112
643	1119
644	1122
645	1106
646	1065
647	1113
648	1066
649	1028
650	1000
651	1063
652	1032
653	1023
654	1080
655	1033
656	1076
657	1086
658	1032
659	1039
660	1079
661	974
662	1080
663	979
664	1009
665	1071
666	976
667	1002
668	1049
669	1038
670	1060
17054	1
671	1046
672	938
673	987
674	995
675	961
676	1027
677	944
678	1035
679	945
680	1034
681	951
682	984
683	949
684	943
685	922
686	931
687	959
688	919
689	938
690	971
691	916
692	965
693	967
694	928
695	957
696	922
697	900
698	912
699	886
700	892
701	900
702	896
703	887
704	922
705	910
706	955
707	898
708	883
709	891
710	845
711	881
712	896
713	911
714	886
715	904
716	855
717	883
718	802
719	836
720	881
721	841
722	912
723	862
724	855
725	795
726	863
727	880
728	847
729	844
730	840
731	820
732	855
733	852
734	835
735	797
736	838
737	808
738	797
739	771
740	839
741	812
742	806
743	792
744	811
745	764
746	816
747	817
748	820
749	781
750	728
751	787
752	779
753	855
754	710
755	851
756	770
757	766
758	707
759	714
760	737
761	802
762	714
763	752
764	770
765	762
766	768
767	798
768	736
769	798
770	722
771	741
772	726
773	753
774	727
775	744
776	755
777	697
778	724
779	711
780	715
781	741
782	702
783	739
784	697
785	727
786	703
787	712
788	743
789	742
790	730
791	713
792	721
793	697
794	654
795	690
796	678
797	679
798	663
799	681
800	670
801	713
802	705
803	666
804	669
805	700
806	707
807	625
808	658
809	657
810	715
811	714
812	666
813	653
814	676
815	653
816	697
817	645
818	589
819	667
820	686
821	619
822	616
823	661
824	617
825	615
826	627
827	621
828	615
829	654
830	597
831	671
832	665
833	606
834	607
835	627
836	612
837	616
838	637
839	606
840	551
17224	1
841	586
842	620
843	598
844	611
845	615
846	605
847	584
848	656
849	575
850	565
851	588
852	591
853	582
854	588
855	590
856	599
857	566
858	587
859	561
860	573
861	557
862	619
863	547
864	553
865	564
866	580
867	576
868	540
869	565
870	531
871	546
872	513
873	562
874	549
875	550
876	475
877	522
878	546
879	525
880	519
881	613
882	493
883	520
884	572
885	546
886	527
887	524
888	541
889	531
890	507
891	566
892	492
893	583
894	552
895	564
896	527
897	495
898	535
899	548
900	522
901	492
902	503
903	510
904	485
905	512
906	501
907	519
908	518
909	499
910	532
911	481
912	516
913	479
914	513
915	507
916	519
917	493
918	490
919	514
920	467
921	487
922	450
923	493
924	445
925	468
926	447
927	479
928	478
929	472
930	431
931	471
932	475
933	497
934	487
935	522
936	463
937	504
938	441
939	475
940	463
941	468
942	421
943	504
944	466
945	437
946	483
947	432
948	466
949	433
950	448
951	450
952	446
953	443
954	468
955	462
956	409
957	428
958	421
959	434
960	393
961	433
962	462
963	417
964	434
965	409
966	463
967	427
968	470
969	448
970	454
971	424
972	409
973	416
974	391
975	449
976	421
977	399
978	394
979	474
980	426
981	428
982	376
983	383
984	399
985	400
986	413
987	403
988	397
989	370
990	378
991	425
992	404
993	413
994	412
995	396
996	395
997	393
998	397
999	362
1000	409
1001	412
1002	410
1003	380
1004	378
1005	437
1006	398
1007	391
1008	383
1009	437
1010	406
1011	377
1012	372
1013	364
1014	416
1015	411
1016	408
1017	382
1018	378
1019	389
1020	377
1021	394
1022	369
1023	372
1024	393
1025	401
1026	364
1027	362
1028	366
1029	340
1030	370
1031	359
1032	386
1033	375
1034	371
1035	385
1036	348
1037	360
1038	380
1039	358
1040	345
1041	382
1042	366
1043	367
1044	385
1045	360
1046	315
1047	383
1048	393
1049	362
1050	350
1051	353
1052	309
1053	344
1054	353
1055	316
1056	327
1057	317
1058	317
1059	378
1060	343
1061	331
1062	331
1063	333
1064	361
1065	342
1066	344
1067	332
1068	331
1069	297
1070	355
1071	311
1072	340
1073	310
1074	320
1075	342
1076	320
1077	324
1078	315
1079	323
1080	347
1081	303
1082	324
1083	330
1084	336
1085	317
1086	315
1087	303
1088	326
1089	316
1090	307
1091	308
1092	293
1093	294
1094	316
17478	2
1095	312
1096	314
1097	334
1098	314
1099	316
1100	325
1101	321
1102	335
1103	277
1104	302
1105	306
1106	288
1107	320
1108	313
1109	297
1110	309
1111	301
1112	314
1113	313
1114	305
1115	278
1116	300
1117	284
1118	281
1119	306
1120	291
1121	279
1122	330
1123	302
1124	284
1125	284
1126	295
1127	287
1128	268
1129	291
1130	284
1131	283
1132	273
1133	309
1134	278
1135	326
1136	313
1137	248
1138	296
1139	284
1140	267
1141	295
1142	279
1143	287
1144	264
1145	259
1146	298
1147	277
1148	251
1149	290
1150	287
1151	265
17536	3
1152	247
1153	297
1154	261
1155	279
1156	270
1157	324
1158	250
1159	258
1160	255
1161	276
1162	250
1163	258
1164	285
1165	252
1166	292
1167	253
1168	237
1169	242
1170	261
1171	266
1172	225
1173	252
1174	246
1175	242
1176	257
1177	264
1178	233
1179	237
1180	255
1181	249
1182	242
1183	261
1184	239
1185	232
1186	248
1187	251
1188	232
1189	238
1190	246
1191	246
1192	252
1193	236
1194	251
1195	246
1196	231
1197	236
1198	249
1199	223
1200	228
1201	277
1202	249
1203	261
1204	233
1205	247
1206	203
1207	245
1208	223
1209	231
1210	280
1211	245
1212	237
1213	229
50365	1
1214	258
1215	221
1216	220
1217	217
1218	236
1219	251
1220	189
1221	251
1222	233
1223	207
1224	219
1225	258
1226	217
1227	220
1228	217
1229	230
1230	201
1231	193
1232	256
1233	210
1234	243
1235	189
1236	228
1237	240
1238	211
1239	229
1240	220
1241	186
1242	220
1243	212
1244	229
1245	191
1246	202
1247	211
1248	216
1249	175
1250	198
1251	188
1252	211
1253	198
1254	220
1255	214
1256	223
1257	197
1258	206
1259	196
1260	207
1261	212
1262	208
1263	218
1264	198
1265	210
1266	207
1267	232
1268	175
1269	178
1270	201
1271	190
1272	202
1273	203
1274	203
1275	217
1276	195
1277	179
1278	216
1279	192
1280	196
1281	209
1282	206
1283	198
1284	196
1285	208
1286	182
1287	205
1288	193
1289	175
1290	198
1291	203
1292	178
1293	172
1294	155
1295	187
1296	197
1297	165
1298	176
1299	203
1300	179
1301	214
1302	194
1303	202
1304	162
1305	203
1306	172
1307	170
1308	199
1309	172
1310	179
1311	192
1312	184
1313	162
1314	194
1315	191
1316	176
1317	175
1318	166
1319	163
1320	179
1321	176
1322	195
1323	196
1324	187
1325	181
1326	164
1327	169
1328	193
1329	183
1330	195
1331	178
1332	153
1333	180
1334	177
1335	162
1336	180
1337	143
1338	172
1339	167
1340	167
1341	146
1342	181
1343	201
1344	186
1345	163
1346	183
1347	177
1348	182
1349	182
1350	186
1351	166
1352	195
1353	165
1354	161
1355	167
1356	181
1357	162
1358	169
1359	156
1360	149
1361	166
1362	146
1363	164
1364	142
1365	163
1366	159
1367	159
1368	172
1369	150
1370	163
1371	175
1372	143
1373	160
1374	179
1375	161
1376	180
1377	139
1378	175
1379	143
1380	156
1381	165
1382	168
1383	134
1384	155
1385	138
1386	156
1387	165
1388	149
1389	163
1390	157
1391	141
1392	160
1393	168
1394	157
1395	154
1396	157
1397	163
1398	145
1399	165
1400	135
1401	175
1402	146
1403	158
1404	154
1405	144
1406	158
1407	162
1408	150
1409	160
1410	141
1411	140
1412	138
1413	141
1414	150
1415	167
1416	138
1417	154
1418	138
1419	144
1420	123
1421	147
1422	158
1423	158
1424	132
1425	153
1426	141
1427	118
1428	149
1429	149
1430	135
1431	146
1432	143
1433	141
1434	154
1435	127
1436	133
1437	143
1438	145
1439	141
1440	139
1441	123
1442	146
1443	139
1444	131
1445	144
1446	138
1447	132
1448	114
1449	155
1450	102
1451	141
1452	124
1453	125
1454	133
1455	155
1456	130
1457	134
1458	128
1459	141
1460	171
1461	118
1462	153
1463	124
1464	144
1465	128
1466	151
1467	107
1468	143
1469	126
1470	145
1471	125
1472	114
1473	132
1474	140
1475	111
1476	106
1477	131
1478	136
1479	122
1480	139
1481	133
1482	155
1483	139
1484	114
1485	118
1486	110
1487	122
1488	131
1489	106
1490	122
1491	128
1492	116
1493	115
1494	126
1495	114
1496	99
1497	135
1498	113
1499	135
1500	113
1501	120
1502	122
1503	110
1504	108
1505	135
1506	136
1507	128
1508	111
1509	115
1510	124
1511	120
1512	101
1513	126
17897	1
1514	106
1515	120
1516	100
1517	123
1518	129
1519	114
1520	106
1521	115
