dateCreated	nPosts
2011-04-15	13913
2016-04-30	23
2011-04-16	8025
2011-04-13	14123
2011-04-14	14805
2011-04-11	13543
2011-04-12	15242
2011-04-10	7637
2014-07-01	4442
2014-07-04	472
2014-07-02	4408
2014-07-03	4574
2016-04-28	49
2016-04-27	44
2016-04-29	29
2011-04-08	12131
2016-04-24	23
2016-04-23	27
2011-04-09	7280
2011-04-06	12668
2016-04-26	24
2016-04-25	19
2011-04-07	12766
2011-04-26	104
2011-04-27	111
2011-04-24	118
2011-04-25	52
2011-04-22	78
2011-04-23	57
2011-04-20	72
2011-04-21	60
2011-04-19	74
2011-04-17	3721
2011-04-18	101
2016-04-11	21
2016-04-10	12
2010-09-30	127
2016-04-09	13
2016-04-06	26
2016-04-05	25
2016-04-08	28
2016-04-07	29
2016-04-02	39
2016-04-01	27
2016-04-04	51
2016-04-03	36
2011-04-04	13991
2010-09-28	107
2016-04-20	29
2010-09-29	87
2011-04-05	13388
2010-09-26	77
2011-04-02	7567
2016-04-22	17
2010-09-27	89
2011-04-03	6354
2016-04-21	27
2011-04-01	13439
2010-09-20	107
2010-09-21	45
2010-09-24	96
2010-09-25	66
2010-09-22	60
2010-09-23	121
2016-04-17	73
2016-04-16	50
2016-04-19	47
2016-04-18	50
2016-04-13	16
2016-04-12	14
2016-04-15	39
2016-04-14	40
2010-09-17	87
2015-10-22	2327
2010-09-18	100
2013-01-09	102
2015-10-21	2270
2010-09-15	71
2015-10-20	2584
2010-09-16	89
2015-10-26	2978
2015-10-25	1993
2010-09-19	96
2015-10-24	1856
2015-10-23	2408
2013-01-02	104
2010-09-10	64
2015-10-29	2706
2013-01-01	131
2013-01-04	152
2015-10-28	2906
2013-01-03	213
2015-10-27	3076
2010-09-13	87
2013-01-06	146
2010-09-14	97
2013-01-05	169
2010-09-11	61
2013-01-08	76
2010-09-12	63
2013-01-07	62
2013-01-11	122
2013-01-10	90
2010-09-06	55
2010-09-07	93
2010-09-04	31
2015-10-31	1727
2010-09-05	44
2015-10-30	2574
2010-09-08	64
2010-09-09	88
2010-09-02	77
2010-09-03	60
2010-09-01	73
2012-06-29	96
2013-01-24	76
2013-01-23	172
2013-01-26	119
2013-01-25	90
2013-01-28	136
2013-01-27	132
2013-01-29	106
2012-06-30	72
2013-01-31	83
2013-01-30	80
2013-01-13	96
2013-01-12	110
2013-01-15	130
2013-01-14	126
2013-01-17	73
2013-01-16	94
2013-01-19	90
2013-01-18	104
2013-01-20	92
2013-01-22	129
2013-01-21	83
2012-06-08	96
2012-06-07	87
2012-06-09	82
2013-05-05	4244
2013-05-14	7305
2012-06-15	74
2012-06-14	73
2012-06-17	53
2012-06-16	105
2012-06-11	53
2012-06-10	58
2012-06-13	64
2012-06-12	67
2012-06-19	35
2012-06-18	55
2015-02-28	24
2015-02-26	24
2012-06-20	37
2015-02-27	30
2015-02-24	90
2015-02-25	61
2015-02-22	61
2013-05-02	6820
2015-02-23	67
2012-06-26	86
2012-06-25	46
2012-06-28	64
2012-06-27	126
2012-06-22	26
2012-06-21	42
2012-06-24	66
2012-06-23	54
2015-02-20	33
2015-02-21	36
2016-12-31	20
2015-02-17	29
2015-02-18	82
2015-02-15	59
2015-02-16	47
2015-02-13	52
2015-02-14	59
2015-02-11	40
2015-02-12	26
2015-02-19	50
2016-12-28	8
2016-12-29	10
2016-12-22	45
2015-02-10	49
2016-12-23	17
2016-12-20	36
2016-12-21	26
2016-12-26	19
2016-12-27	31
2016-12-24	20
2016-12-25	21
2015-02-06	40
2013-05-22	4320
2015-02-07	56
2013-05-21	6869
2015-02-04	3727
2015-02-05	558
2015-02-02	4204
2015-02-03	3665
2016-12-30	24
2015-02-01	3385
2012-06-04	69
2012-06-03	95
2012-06-06	87
2012-06-05	75
2015-02-08	70
2012-06-02	98
2015-02-09	67
2012-06-01	68
2014-03-01	181
2014-03-10	4459
2014-03-11	5043
2014-03-12	4910
2014-03-02	127
2014-03-03	80
2014-03-04	4537
2014-03-05	4992
2014-03-06	4728
2014-03-07	4821
2014-03-08	2975
2014-03-09	3016
2011-04-30	66
2014-03-20	4400
2014-03-21	4281
2010-05-30	95
2014-03-22	3309
2010-05-31	76
2014-03-23	3535
2014-03-13	4790
2014-03-14	4272
2014-03-15	3128
2014-03-16	3292
2014-03-17	4517
2014-03-18	4777
2014-03-19	4724
2011-04-28	59
2011-04-29	89
2010-05-22	102
2010-05-23	41
2010-05-24	82
2010-05-25	88
2010-05-26	108
2010-05-27	153
2010-05-28	97
2010-05-29	79
2014-03-30	3211
2014-03-31	4483
2010-05-20	129
2010-05-21	136
2014-03-24	4659
2014-03-25	4527
2014-03-26	5020
2014-03-27	4463
2014-03-28	4167
2014-03-29	3087
2010-05-19	121
2012-03-19	11574
2010-05-11	128
2010-05-12	155
2010-05-13	121
2010-05-14	92
2010-05-15	79
2012-03-15	12104
2015-06-01	3975
2012-03-16	10938
2010-05-16	88
2015-06-02	3626
2012-03-17	7184
2010-05-17	95
2015-06-03	1446
2012-03-18	8642
2010-05-18	102
2010-05-10	140
2013-08-04	2826
2013-08-05	4451
2013-08-06	5151
2013-08-07	5863
2013-08-01	43
2013-08-02	63
2013-08-03	69
2012-03-22	11558
2010-05-08	84
2012-03-23	10905
2010-05-09	106
2012-03-24	6719
2012-03-25	6410
2012-03-20	11316
2012-03-21	12049
2010-05-01	100
2010-05-02	101
2010-05-03	178
2012-03-26	10983
2010-05-04	155
2012-03-27	11015
2010-05-05	186
2010-05-06	178
2012-03-28	11249
2012-03-29	10411
2010-05-07	156
2012-03-30	9393
2012-03-31	4181
2013-08-19	5717
2013-08-26	6021
2013-08-27	5849
2013-08-28	5529
2013-08-29	5389
2013-08-22	4973
2013-08-23	5098
2013-08-24	4290
2013-08-25	4577
2012-03-01	81
2013-08-20	5720
2012-03-02	81
2013-08-21	4958
2012-03-03	5958
2012-03-08	11529
2012-03-09	11003
2012-03-04	8096
2012-03-05	11385
2012-03-06	10481
2012-03-07	11235
2013-08-08	5316
2013-08-09	1172
2013-08-15	3797
2013-08-16	4328
2013-08-17	3716
2013-08-18	4583
2011-08-30	9419
2013-08-11	3860
2011-08-31	10161
2013-08-12	5000
2013-08-13	5838
2013-08-14	5030
2012-03-11	7849
2012-03-12	12170
2012-03-13	12392
2013-08-10	3787
2012-03-14	11831
2012-03-10	7324
2011-08-20	6488
2011-08-21	6924
2011-08-22	9596
2014-11-18	3465
2014-11-19	3330
2011-08-23	10026
2011-08-24	10630
2014-11-16	2520
2011-08-25	9877
2014-11-17	4243
2011-08-26	10286
2014-11-14	3245
2014-11-15	2557
2011-08-27	6867
2011-08-28	7553
2014-11-12	32
2014-11-13	3743
2011-08-29	8240
2014-11-10	13
2014-11-11	34
2015-06-30	21
2016-01-06	33
2011-08-10	8771
2016-01-07	35
2011-08-11	9069
2016-01-08	35
2016-01-09	35
2011-08-12	8861
2015-06-26	45
2011-08-13	5660
2016-01-02	44
2015-06-27	36
2016-01-03	35
2011-08-14	6204
2015-06-28	39
2011-08-15	6924
2016-01-04	53
2015-06-29	17
2011-08-16	8841
2016-01-05	28
2011-08-17	9269
2011-08-18	9041
2011-08-19	9103
2016-01-01	25
2015-06-20	38
2015-06-21	49
2015-06-22	35
2015-06-23	24
2015-06-24	61
2015-06-25	34
2015-06-15	34
2015-06-16	29
2011-08-03	8930
2015-06-17	32
2011-08-04	9907
2015-06-18	47
2011-08-05	8929
2015-06-19	41
2011-08-06	5308
2011-08-07	6521
2011-08-08	8970
2011-08-09	8886
2015-06-10	51
2015-06-11	35
2015-06-12	57
2015-06-13	46
2015-06-14	23
2015-06-04	52
2015-06-05	62
2015-06-06	76
2015-06-07	60
2015-06-08	40
2015-06-09	52
2011-01-22	210
2011-01-21	234
2011-01-24	230
2011-01-23	200
2011-01-20	220
2011-01-19	234
2011-01-18	234
2011-01-15	178
2011-01-14	182
2011-01-17	265
2011-01-16	166
2016-08-04	20
2016-08-03	17
2016-08-02	30
2016-08-01	19
2011-01-31	110
2011-01-30	256
2011-01-29	164
2011-01-26	268
2011-01-25	222
2011-01-28	210
2011-01-27	156
2011-01-02	220
2011-01-01	168
2012-11-20	59
2010-01-31	113
2012-11-22	46
2010-01-30	111
2012-11-21	65
2012-11-13	47
2012-11-12	70
2012-11-15	64
2012-11-14	41
2012-11-17	58
2010-01-29	116
2012-11-16	71
2010-01-28	166
2012-11-19	55
2010-01-27	125
2012-11-18	98
2010-01-26	95
2011-01-11	246
2011-01-10	296
2011-01-13	208
2011-01-12	234
2010-01-25	123
2010-01-24	104
2010-01-23	100
2010-01-22	105
2010-01-21	143
2012-11-30	54
2010-01-20	121
2012-11-24	47
2012-11-23	59
2012-11-26	34
2012-11-25	64
2010-01-19	121
2010-01-18	110
2012-11-28	45
2014-11-09	33
2012-11-27	44
2010-01-17	107
2014-11-07	37
2010-01-16	104
2014-11-08	53
2012-11-29	55
2010-01-15	130
2011-01-08	182
2014-11-05	46
2011-01-07	204
2014-11-06	48
2014-11-03	29
2011-01-09	141
