?postURL;?datePost;?threadURL;?threadTitle;?parentThread;?contentPost;?creatorPost;?sexe;?age;;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/enceinte-formation-sujet_163397_1.htm#post_0>;"""2014-05-08""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/enceinte-formation-sujet_163397_1.htm>;Enceinte et en formation;IVG;Bonjour, Je suis toute nouvelle sur le site, j'ai 37 ans et je suis actuellement en formation aide soignante depuis 5 mois. Je viens d'apprendre que je suis enceinte de 3 semaines... Grossesse inattendue, je l'ai annoncé à mon ami avec qui je suis depuis bientôt un an qui lui a 42 ans et ne veut pas entendre parler de cette grossesse il dit qu'il est trop vieux et me demande d'avorter... Je suis un peu perdue je ne sais pas quoi faire entre ma formation, mon âge et la peur d'être seule si je décide de le garder... car je sais pertinemment que si je fais un ivg je peux renoncer à une grossesse future étant donné mon âge... Cependant j'ai pris rendez-vous au centre hospitalier pour envisager l'ivg. Tout témoignage ou conseil de personne ayant vécu une histoire similaire sera le bienvenu et m'aidera car je suis en pleine période de réflexion et je n'avance pas, je n'arrive pas à savoir quelle sera la meilleure solution. Merci !;<http://club.doctissimo.fr/cincin62/>;female;"""1976-08-17""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/regles-abondantes-aspiration-sujet_158541_1.htm#post_0>;"""2010-04-22""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/regles-abondantes-aspiration-sujet_158541_1.htm>;regles abondantes a cause d une ivg par aspiration;IVG;a cause de mon ivg par aspiration j ai des regles tres abondantes avec des cailloux de sang et ca m inquiete.  j ai peur d être devenue stérile. est ce que vous avez le meme probleme que moi ?;<http://club.doctissimo.fr/jennyfer44/>;female;"""1980-09-05""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/temoin-medicamenteuse-douleur-sujet_163378_1.htm#post_0>;"""2014-04-30""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/temoin-medicamenteuse-douleur-sujet_163378_1.htm>;appel témoin! ivg médicamenteuse et douleur;IVG;Voila, je suis enceinte de 3 semaines et aujourd'hui j'ai vu le gynéco la première fois (pas rassurant), on s'est donné rdv dans une semaine pour une ivg médicamenteuse. Il m'a tout de suite conduit à ça et non pas par la chirurgie, quel est votre avis sur ces 2 méthodes? et une ivg médicamenteuse ça fait autant de douleur? j'ai vu plein d'infos comment c'est horrible, et la perte de sang... Et à votre avis vaut mieux être seule à prendre le médicament ou avec son copain? J'ai pas trop envie qu'il voit ma tête si mal. Et combien de temps la douleur dure? J'ai vu que l'arrêt de travail est que de 3j, on peut marcher tout au long ou pas du tout avec la douleur?? MERCII de vos témoignages!;<http://club.doctissimo.fr/lili900/>;female;"""1991-01-01""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/ivg-enfant-sujet_165905_1.htm#post_0>;"""2016-01-26""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/ivg-enfant-sujet_165905_1.htm>;IVG en ayant deja un/des enfant(s);IVG;"Bonjour, Je viens d'apprendre (il y a quelques jours) que je suis enceinte. Cette grossesse n'était pas prévue ni voulue maintenant, mais nous sommes ensemble depuis 10ans, mariés, deja parents de deux enfants. Je ne désirais pas d'autre enfant maintenant car j'avais l'envie de me consacrer à mon couple, à ma vie professionnelle, ce qui étaient de bons arguments pour ne pas vouloir d'une grossesse, mais qui pour moi ne tiennent plus maintenant que ce bébé s'est invité (d'autant que je suis sûre que notre couple va souffrir de cet avortement, et ma vie professionnelle va être très chamboulée aussi... Je travaille principalement avec des femmes enceintes et des bébés, comment vais-je avoir la force de continuer?). Pour mon mari c'est clair et net, il be veut pas de ce troisième enfant maintenant. Il a eu des mots très durs \""je pense que je ne pourrais pas l'aimer comme j'aime nos enfants\"". Il n'a aucun doute, ne veut vraiment pas le garder. Du coup oui je vais avorter, pas Parce que mon homme me le demande, mais parce que ce bébé ne mérite pas d'arriver dans une famille où il ne serait pas aimé comme il devrait l'être, ce serait trop injuste pour cet enfant. J'ai mal, terriblement mal, je pleure toutes les larmes de mon corps, je rejette tout contact physique, un coup la presence de mes deux enfants me fait aller un peu mieux, l'instant d'après je les rejette totalement, ils me rappellent trop ce troisième enfant que je ne connaîtrai jamais. Je sais que je ne serai plus jamais la meme, je sais que je n'aurais plus jamais d'estime de moi en tant que personne, ni en tant que maman. Je sais aussi que mon couple ne résistera pas à cette épreuve, car même si c'est moi qui prend cette décision, je la prends à cause de lui, et je lui en veux énormément... Pour celles qui ont vécu un avortement en ayant deja des enfants, comment l'avez vous vécu? Cela a-t-il modifié votre relation avec vos enfants? Votre couple a-t-il survécu? Comment s'en relever? Merci à toutes celles qui m'auront lue jusqu'au bout...";<http://club.doctissimo.fr/moleson/>;female;"""1989-09-27""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/pillule-sujet_159306_1.htm#post_0>;"""2010-10-29""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/pillule-sujet_159306_1.htm>;Ma pillule;IVG;coucou à toutes. J'ai subit une IVG il y a maintenant presques 3 semaines. Le soir le mon IVG j'ai donc commancer une pillule contraceptive mélodia. La semaine dernière j'ai eu mon rdv post-ivg .. RAS Le problèmes c'est que mélodia est une pillule continue si j'ai bien compris je ne dois pas l'arrêter (pas de 7 jours d'arret entre 2 plaquettes) Mais à quoi servent les 4 comprimés blanc ? ( j'ai pris le premier hier) Quand esce que je suis sencée avoir mes règles ? sachant que la semaine dernière il me restait quelque petits saignements dû à mon IVG.. Je suis un peu perdu Help;<http://club.doctissimo.fr/lau91972/>;female;"""1990-09-17""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/5mois-pense-cesse-sujet_163108_1.htm#post_0>;"""2013-12-07""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/5mois-pense-cesse-sujet_163108_1.htm>;ivg il y a 5mois et j'y pense sans cèsse...;IVG;Bjour a toutes j etais active sur le forum il y a a peu pret 5mois, j ai subit une ivg medicamenteuse le 02juillet,et depuis je regrette, j ai eu bcp de reponses positives es mots de reconforts et je vous en remercie la periode des fêtes arrive et c est encore pire...le bébé etais prevu pour fin fevrier! je devrais avoir un ventre tout rond,et connaitre deja le sexe de bébé ...la peine persiste toujours, chaque jour qui passe, je suis restee sans venir sur le forum tout se tmeps car je pensais que en restant sans vous lire ca irait ca me changerait les idées, mais rien y fait...j ai deux enfants magnifiques, 1fille de bientt trois ans et un fils d un an et dmi, mais il manquera quelqu un ..il y a deux ans, j etais enceinte de mon fils a noel, j avais accroché des ptit chaussons de couleur bleue ( je ne connaissais pas encire son sexe) et cette année j aurdu faire pareil....mais je suis tellement triste au quotidien meme mon comapgnon me dis que je ne ris plus jamais ....;<http://club.doctissimo.fr/heureuse-maman9/>;female;"""1987-02-17""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/dure-decision-sujet_163833_1.htm#post_0>;"""2015-02-11""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/dure-decision-sujet_163833_1.htm>;dure décision;IVG;"Bonjour, Après lecture de certains posts j'ai vu qu'il y a avait de l'aide et de l'écoute alors je me lance! Je viens d'apprendre que j'étais enceinte (suite à un oubli pilule), une grossesse pas du tout programmée donc. Je suis divorcée et en couple depuis 5 ans avec chacun deux enfants de chaque côté. L'envie d'agrandir la famille est bien présente depuis bientôt deux ans. Mais financièrement c'est compliqué, j'alterne période de travail et chômage. Lui a un travail fixe avec un salaire correct. Nous avons prévu de nous marier l'année prochaine et de nous installer ensemble très vite, nous avons été \""bloqué\"" par des soucis avec la caf. Tout commence à rentrer dans l'ordre, j'ai un entretien pour un cdd vendredi. A l'annonce de la grossesse, nous avons été d'accord sur l'IVG. Nous sommes allés au rdv chez la gynéco qui nous a tout expliqué et nous a donné une semaine de réflexion. Mais voilà cette semaine de réflexion est juste insupportable. Nous avons encore plus projeté de s'installer ensemble, nous avons fait nos budgets et dépenses en commun, regarder des appartements pouvant accueillir toute la famille... On doute énormément. Nous en avions tellement envie tous les deux depuis deux ans, là cela se concrétise. Certes pas dans les bonnes conditions. Je ne me fais pas à l'idée de \""tuer\"" cet enfant, j'ai peur de ne pas être forte psychologiquement ensuite. La famille réagira mal c'est sur et il faut s'attendre à ne pas avoir d'aide de ce côté. Je suis totalement perdue! Je sais que c'est une décision qui nous revient à part entière mais si vous êtes passé(e)s par là... Je dois faire l'écho de datation vendredi, j'angoisse à l'idée d'entendre le coeur battre...";<http://club.doctissimo.fr/clamati/>;female;"""1982-07-24""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/ivg-sujet_162619_1.htm#post_0>;"""2013-05-11""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/ivg-sujet_162619_1.htm>;IVG ou pas ?;IVG;Bonjour J'ai 20 ans je suis avec mon copain depuis 4 ans, je ne souhaitais pas avoir d'enfant mais je vient de tomber enceinte. Je voulais avorter mais voila je n'arrive pas a me dire que je vais tuer un bb qui n'a rien demandé, je ne suis pas spécialement prête, et je ne pense pas du tout que je serais une bonne mère, mais j'ai peur de ne jamais réussir a me pardonné d'avoir tué le bb. D'un autre coté je n'ai pas envie qu'il naisse alors que nous n'avons pas de travail, je suis perdue de plus tous les gens de mon entourage font passer l'avortement comme quelque chose de banal, et personne ne me comprend :s;<http://club.doctissimo.fr/lakymousto/>;female;"""1992-09-21""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/parents-sujet_162796_1.htm#post_0>;"""2013-07-09""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/parents-sujet_162796_1.htm>;Les parents.;IVG;J'ai 15 ans il y'a environ une semaine j'ai appris avec mon copain qu'on attendait un bébé. On en a d'abord parler a sa maman, ensuite sa maman en a parler avec ma mamans. On ne veut surtout pas le dire à mon père car il se met en colère facilement. Ma maman n'est pas bien, moi non plus. J'ai envie de mourir, mais j'ai fais une erreur il faut qu'on assume à 2 maintenant.Ma maman m'en veut.. J'ai fait une prise de sang tout à l'heure pour commencer l'avortement, bien évidemment je ne compte pas garder un enfant a 15 ans alors que je ne suis pas capable et pas prête a l'élever, enfin sans situation pour moi je ne pourrais pas. En combien de temps l'avortement est il fini et en combien d'étape? aidez moi svp.;<http://club.doctissimo.fr/mllef90/>;female;"""1998-08-06""^^<http://www.w3.org/2001/XMLSchema#date>";;;
<http://forum.doctissimo.fr/grossesse-bebe/ivg/regrette-avortement-sujet_163981_1.htm#post_0>;"""2015-04-30""^^<http://www.w3.org/2001/XMLSchema#date>";<http://forum.doctissimo.fr/grossesse-bebe/ivg/regrette-avortement-sujet_163981_1.htm>;Je regrette mon avortement;IVG;Bonjour, Bonjour, Je suis complètement perdue. J ai besoin d en parler. J ai 33 ans, en 2012 en vacance aux Antilles, je suis tombé amoureuse d un jeune homme de huit ans de moins que moi. J ai décidé de tout plaquer et de partir vivre avec lui dans son pays. J ai travaillé avant, mis des sous de côté, puis g vendu tous ce que j avais et je suis partie le rejoindre. Une folie aux yeux de mon entourage. Mais je l aimais et il me permettais aussi de changer de vie, ensemble nous avons travaillé dur, crée une ferme dans un endroit paradisiaque. Il était parfait, gentil, travailleur, respectueux. Je pouvais voir la pureté de son âme dans ces yeux. Mais tout allait très vite, et les doutes de mon entourage m ont finalement atteins et j ai perdu de mon enthousiasme. Est ce qu il m aime vraiment, est ce juste pour l argent? Il n a pas d argent, mais travaille dur pourtant, fait tous ce qu il peut et moi j avais juste mes quelques économies que je dépensais pour le projet. Rien ne m appartenait finalement puisque je n était pas dans mon pays et rien n était à mon nom et la peur de me faire mettre à la porte un jour ne quittais pas mon esprit. Ces mauvaises pensées, bien que légitimes après tout, m ont rendu méfiante, suspicieuse, et méchante. Une dispute à éclate, et puis ça ne s est plus arrete. Toujours plus violentes. Et finalement ce que je craignais tant est arrivé. Il m'a mise à la porte. Me reprochant de trop douter, de ne pas être assez sincère, sinon je m investirais plus. J ai beaucoup travaillé avec lui sur son terrain et dépense beaucoup d argent mais apparement pas assez. Je suis donc rentrée en France, et je suis revenu car je l aimais et il me manquait terriblement. La il m a dit que je devait à présent vivre en suivant ses lois car je vivait sur sa propriété. 1 mois après il me dit qu il veut que je rentre en France pour travailler et ramener des sous. J accepte. Je commence a préparer mon voyage retour. On se dispute violemment pour une broutille et me remet à la porte. Je me réfugie chez ma voisine. J essaye d arranger les choses encore, je retourne le voir. Mais non. Il ne veut pas. La je découvre que je suis enceinte. J ai eu très peur mais au fond de moi j étais heureuse. Quand je lui ai annoncé, il m a dit de revenir, d oublier les problèmes. Mais mon billet d avion était déjà réservé j ai décidé de rentrer, pour réfléchir. Il ne m a pas accompagné à l aéroport et ne m'a presque pas donné de nouvelles. Je me sentais si seule et abandonnée. Pleine de doutes par rapport à son amour envers moi, et en ma capacité d élever un enfantj seule, je lui ai dis que je pensais avorter. Sa réaction a été de me zapper. Encouragee par mon entourage j ai pris rdv a l hôpital. Le jour de mon rdv j ai craqué, je l ai appele au moin 10 fois avant qu il ne décroche. Il m a dit de ne pas le faire et de revenir mais même la, j avais trop de doute encore. J ai repoussé mon rdv d une journée pour réfléchir. Nous avons encore discuter le soir sur rami mais il ne m'a pas convaincu. Toujours la crainte de me retrouver seule avec un enfant, loin de chez moi sans ma famille et mes amis, sans argent. Le lendemain j y suis allé. Et j ai pris une pilule. Et le matin de l hospitalisation, il m avait écrit, tous ce que j espérais lire, entendre. Mais il était trop tard. Et je suis allé à l hôpital à reculons et en pleurant toutes mes larmes jusqu au dernier moment. Aujourd'hui hui je le regrette terriblement. Et lui aussi. Mais je n ai plus de signes de vie de sa part. Mon cœur pleur sans arrêt, va t il pouvoir s arrêter et retrouver la joie de vivre? Je l aime toujours malgré tout, avons nous encore une chance d être heureux après ca?;<http://club.doctissimo.fr/aurore121370/>;female;"""1982-09-20""^^<http://www.w3.org/2001/XMLSchema#date>";;;
