Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"ALPELISIB 50 mg, comprimés pelliculés ALPELISIB 200 mg, comprimés pelliculés",Alpelisib,ATU Nominative,,,,,
"ATGAM 50 mg/ml, solution à diluer pour perfusion","Sérum antilymphocytaire, sérum antithymocyte équin",ATU nominative,,,,,
"ATTENTIN 5 mg, comprimés",Dexamphétamine,ATU nominative,,,,,
"AVASTIN® 25 mg/ml, solution à diluer pour perfusion",Bevacizumab,RTU,"RTU établie le 24/06/2015
Débutée le 01/09/2015",,,,
"AVELUMAB 20 mg/mL, solution à diluer pour perfusion",Avelumab,ATU cohorte,"Octroi : février 2017
Arrêt : 11/12/2017",18/09/17,0,,Merck Serono
"AZD9291 40 et 80 mg, comprimé pelliculé",AZD9291,ATU cohorte,"Octroi : septembre 2015
Arrêt : 02/05/2016",02/02/2016 (TAGRISSO),0,,Astrazeneca
"BLINCYTO 38,5 microgrammes, poudre pour solution à diluer pour perfusion",Blinatumomab,ATU cohorte,"Octroi :octobre 2015
Arrêt : 01/03/2016",23/11/15,0,,AMGEN S.A.S.
"BRIGATINIB 30 mg, comprimé pelliculéBRIGATINIB 180mg, comprimé pelliculé",Brigatinib,ATU cohorte,"octroyée le 23 mai 2018
Début de l'ATU prévu par le laboratoire : le 18/06/2018 ",,,,
"BRINEURA 150 mg, solution pour perfusion",Cerliponase alfa,ATU cohorte,"Octroi : mars 2017
Arrêt : 30/08/2017",30/05/17,0,,BioMarin
"CABOMETYX 20 mg, 40 mg et 60 mg comprimé pelliculé",Cabozantinib,ATU cohorte,"Octroi : 26/08/2016
Arrêt : 09/12/2016",09/09/16,0,,IPSEN PHARMA
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",Alemtuzumab,ATU nominative,,,,,
"CIRCADIN 2 mg, comprimé à libération prolongée",Mélatonine,RTU,"RTU octroyée le 08/07/2015
Débutée le 01/10/2015",,,,
"COBIMETINIB 20 mg, comprimés pelliculés",Cobimetinib,ATU cohorte,"Octroi : 06/2015
Arrêt : 04/01/2016",20/11/2015 (COTELLIC),0,,Roche SAS
"CRIZOTINIB Pfizer 25 mg/ml nourrissons et enfants, solution buvable",Crizotinib,ATU nominative,,,,,
"CRYSVITA 10 mg, solution injectableCRYSVITA 30 mg, solution injectable",Burosumab,ATU cohorte,"octroyée le 13 février 2018
Début de l'ATU prévu par le laboratoire : le 17 mai 2018",,,,
"CUSTODIOL, solution de cardioplégie",,ATU cohorte,"Octroi : janvier 2015
Début : avril 2015
Modifiée en décembre 2015 et en novembre 2016",,,,
"CYSTADROPS 0.55 %, collyre en solution",Chlorhydrate de cystéamine,ATU cohorte,"Octroi : septembre 2013
Arrêt : 23/09/2017",19/01/17,0,,Orphan Europe S.A.R.L.
CYTOTECT CP BIOTEST 100 U/ml,Immunoglobuline humaine du cytomégalovirus,ATU nominative,,,,,
DARATUMUMAB 20 mg/mL solution à diluer pour perfusion,Daratumumab,ATU cohorte,"Octroi : avril 2016 
Arrêt : 20/06/2016",20/05/2016 (DARZALEX),0,,Janssen-Cilag
"DUPIXENT 300 mg, solution injectable en seringue préremplie",Dupilumab,ATU cohorte,"Octroi: Juillet 2017
Arrêt : 22/01/2018",AMM C : 26/09/2017,0,,SANOFI-AVENTIS France
"DURVALUMAB 50 mg/mL, solution à diluer pour perfusion",Durvalumab,ATU cohorte,"octroyée le 16 mars 2018
Début de l'ATU prévu par le laboratoire : 26 mars 2018",,,,
"ELELYSO (taliglucerase alfa), for injection (ex UPLYSO, poudre pour solution pour perfusion)",Taliglucérase alfa,ATU nominative,,,,,Pfizer S.A.S.
"ELMIRON 100 mg, gélule",Pentosane polysulfate sodique,ATU cohorte,"Octroi : 30/03/2017
Arrêt : 16/12/2017",02/06/17,0,,Laboratoire titulaire : Bene-Arzneimittel Gmbh / Laboratoire exploitant : Laboratoire Cevidra
EMICIZUMAB 30 mg/ml solution injectableEMICIZUMAB 150 mg/ml solution injectable,Emicizumab,ATU cohorte,"Octroi:19/02/2018
Arrêt : 04/06/2018
AMM C : 23/02/2018",,0,,Roche
"GALAFOLD 123 mg, gélule",Migalastat,ATU cohorte,"Octroi : 29/02/2016
Arrêt : 25/07/2016",26/05/16,0,,Amicus Therapeutics UK Ltd
"GS-101  0,86 mg/ml, collyre en solution en récipient unidose",Aganirsen,ATU nominative,,,,,
"GYMISO 200 microgrammes, comprimé MISOONE 400 microgrammes, comprimé (Prise en charge des fausses couches précoces du premier trimestre (avant 14 SA) en cas de grossesses arrêtées)",Misoprostol,RTU,"RTU établie le 16 fevrier 2018
Début le 1er mars 2018",,,,
"GYMISO 200 microgrammes, comprimé MISOONE 400 microgrammes, comprimé (Prise en charge des interruptions médicales de grossesses (IMG) et des cas de morts fœtales in utero (MFIU) au-delà de 14 SA, en association à la mifépristone)",Misoprostol,RTU,"RTU établie le 16 fevrier 2018
Début le 1er mars 2018",,,,
"HEMANGIOL  3,75 mg/ml, solution buvable",Propranolol,RTU,"RTU octroyée le 17/02/2016
Début prévu lors de la publication de l’arrêté de prise en charge correspondant",,,,
"HUMULIN® R REGULAR U-500, solution injectable - flacon",Insuline Humaine concentrée à 500 U/ml,ATU nominative,,,,,
"IDARUCIZUMAB 2,5 g / 50 mL, solution injectable/pour perfusion",Idarucizumab,ATU cohorte,"Octroi : 11/2015
Arrêt : 20/02/2016",20/11/2015 (PRAXBIND),0,,BOEHRINGER INGELHEIM FRANCE
"INOTUZUMAB OZOGAMICIN 1 mg, poudre pour solution à diluer pour perfusion",Inotuzumab ozogamicin,ATU cohorte,"Octroi : 23/01/2017
Arrêt : 29/09/2017",29/06/17,0,,Pfizer
"INSPRA 25 mg, comprimé pelliculé INSPRA 50 mg, comprimé pelliculé Et l’ensemble des spécialités identifiées comme génériques.",Eplérénone,RTU,"RTU établie le 18 juin 2018
Début prévu lors de la publication de l’arrêté de prise en charge correspondant et du choix par les laboratoires de la CRO en charge du suivi",,,,
"KEYTRUDA 50mg, poudre pour solution à diluer pour perfusion KEYTRUDA 25mg/mL, solution à diluer pour perfusion",Pembrolizumab,RTU,"RTU établie le 31 juillet 2018
Début prévu lors de la publication de l’arrêté de prise en charge correspondant ",,,,
"KYMRIAH 1,2 x 106 – 6 x 108 cellules dispersion pour perfusion",Tisagenlecleucel,ATU de cohorte,"Octroi : 17/07/2018
Début de l'ATU prévu par le laboratoire : 25/07/2018",,,,
"LCZ696 50 mg, 100 mg et 200 mg, comprimé pelliculé",Sacubitril - Valsartan,ATU cohorte,"Octroi : 04/2015
Arrêt : 04/01/2016",19/11/2015 (ENTRESTO),0,,Novartis Pharma SAS
"LEDAGA 160 microgrammes/g gel(anciennement VALCHLOR®, gel pour application cutanée)",Chlorméthine,ATU cohorte,"Octroi : décembre 2016
Début de l'ATU prévue par le laboratoire : 26/01/2017",,,,
"LIKOZAM 1mg/ml, suspension buvable",Clobazam,ATU cohorte,"Octroi : avril 2014
Arrêt : 11/06/2016",10/02/16,0,,Laboratoire Advicenne
"LIORESAL 10 mg, comprimé sécable BACLOFENE Zentiva 10 mg, comprimé",Baclofène,RTU,"RTU - Début le 17/03/2014
La RTU est renouvelée jusqu'au 17/03/2019",,,,
"LUMACAFTOR / IVACAFTOR VERTEX 200 mg/125 mg, comprimé pelliculé",Lumacaftor/ivacaftor,ATU cohorte,"Octroi : 10/2015
Arrêt : 14/03/2016",19/11/2015 (ORKAMBI),0,,Vertex Pharmaceuticals (France)
"LUTATHERA 370 MBq/mL, solution pour perfusion",[177Lu]-DOTA0-Tyr3-octréotate,ATU cohorte,"Octroi : avril 2015 
Arrêt : 26/12/2017",26/09/17,0,,Advance Accelerator Applications SA
"M-M-RVAXPRO, poudre et solvant pour suspension injectable en seringue préremplie PRIORIX, poudre et solvant pour solution injectable en seringue préremplie","Vaccin rougeoleux, des oreillons et rubéoleux vivant",RTU,"RTU établie le 17 juillet 2018
Début prévu lors de la publication de l’arrêté de prise en charge correspondant et du choix par les laboratoires de la CRO en charge du suivi",,,,
"MALACEF 60 mg, poudre et solvant pour solution injectable",Artesunate,ATU nominative,,,,,
"METHOTREXATEMETHOTREXATE TEVA 10 POUR CENT  (1 g/10 ml), solution injectableMETHOTREXATE TEVA 10 POUR CENT  (5 g/50 ml), solution injectableMETHOTREXATE TEVA 2,5 POUR CENT (50 mg/2 ml), solution injectableMETHOTREXATE TEVA 2,5 POUR CENT  (500 mg/20 ml), solution injectableMETHOTREXATE MYLAN 100 mg/ml, solution injectableMETHOTREXATE MYLAN 25 mg/ml, solution injectableMETHOTREXATE MYLAN 50 mg/ 2 ml, solution injectableLEDERTREXATE 50 mg/2ml, solution injectable",Méthotrexate,RTU,"RTU octroyée le 21/03/2016
Début : 31/03/2017",,,,
"METRELEPTINE 11,3 mg, poudre pour solution injectable",Métréleptine,ATU nominative,,,,,
"MIDOSTAURINE 25 mg, capsule molle",Midostaurine,ATU cohorte,"Octroi : Juillet 2016 
Arret : 15/11/2017",AMM C : 18/09/2017,0,,Novartis Pharma S.A.S.
MK-8228,Letermovir,ATU nominative,,,,,
"MYLOTARG 5 mg, lyophilisat pour solution pour perfusion",Gemtuzumab ozogamicin,ATU cohorte,"Octroi : septembre 2014
Début ATU : novembre 2014
Arrêt ATU : 19/07/2018",19/04/18,0,,Pfizer
"NALSCUE 0,9 mg/0,1ml solution pour pulvérisation nasale en récipient unidose",Chlorhydrate de naloxone anhydre,ATU cohorte,"Octroi : 05/11/2015
Arrêt : 08/01/2018",Nationale : 28/07/2017,0,,Indivior UK Limited
"NATRIUMTHIOSULFAT 10%, solution pour perfusion NATRIUMTHIOSULFAT 25%, solution pour perfusion",Thiosulfate de sodium,ATU cohorte ,"octroyée en avril 2017
Début de l'ATU prévu par le laboratoire : 15 mai 2017",,,,
"NEODEX 40 mg, comprimé sécable",Dexaméthasone,ATU cohorte,"Octroi: avril 2010
Arrêt :16/06/2016",AMMc: 16/03/2016 (NEOFORDEX),0,,Laboratoires CTRS
"NIRAPARIB TESARO 100 mg, gélule",Niraparib,ATU cohorte,"Octroi : septembre 2017
Arrêt : 19/03/2018",16/11/17,0,,Tesaro Bio France SAS
"NOVOSEVENNOVOSEVEN 1 mg (50 KUI), poudre et solvant pour solution injectable  NOVOSEVEN 2 mg (100 KUI), poudre et solvant pour solution injectable NOVOSEVEN 5 mg (250 KUI), poudre et solvant pour solution injectable NOVOSEVEN 8 mg (400 KUI), poudre et solvant pour solution injectable",Eptacog alfa activé,RTU,"RTU établie le 03 juillet 2017
Début prévu lors de la publication de l’arrêté de prise en charge correspondant",,,,
